npm notice run levelflow-cloud@0.1.0 npx
npm notice run 'tsx' scripts/grid-totalr.ts sweeps/4c/shard-0.jsonl sweeps/4c/shard-1.jsonl sweeps/4c/shard-2.jsonl sweeps/4c/shard-3.jsonl sweeps/4c/shard-4.jsonl sweeps/4c/shard-5.jsonl sweeps/4c/shard-6.jsonl sweeps/4c/shard-7.jsonl --baseline confidenceThreshold=0,runnerProtection=breakeven,maxStopAtrMultiplier=1,sizingHoursFactor=1 --permutations 1000 --seed 7
folds: fit=fit select=select (legacy two-split corpus) · holdout 3 markets excluded
corpus 3c47e2036e1b · engine 2026.08.11.engine-v2 · anchor 2026-08-11

=== CRYPTO ===
variant                         ΔR fit   ΔR sel  pairedP   ΔE sel   comp  expry  worstDay  verdict
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1,sizingHoursFactor=3      43.4     43.7    0.001    0.047    0.0   0.01      -4.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=1     206.3    131.2    0.001    0.139   -6.1   0.01      -3.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=1.6,sizingHoursFactor=3     208.6    130.0    0.001    0.138   -6.1   0.01      -3.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=1     517.6    295.3    0.001    0.302    0.4   0.02      -3.2  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=2.5,sizingHoursFactor=3     530.4    300.1    0.001    0.291    0.4   0.03      -3.2  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=1     670.4    314.3    0.001    0.338    0.8   0.05      -3.2  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=hold,maxStopAtrMultiplier=4,sizingHoursFactor=3     734.5    363.0    0.001    0.354    0.6   0.07      -2.6  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=1      25.5     22.8    0.001    0.024    0.0   0.01      -4.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1,sizingHoursFactor=3      25.7     22.7    0.001    0.024    0.0   0.01      -4.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=1     204.4    129.4    0.001    0.137   -4.3   0.01      -3.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=1.6,sizingHoursFactor=3     204.7    130.2    0.001    0.138   -4.3   0.01      -3.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=1     565.1    316.0    0.001    0.323    2.3   0.02      -2.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=2.5,sizingHoursFactor=3     579.6    319.7    0.001    0.308    2.3   0.03      -2.3  ACCEPT — fit+select, paired p, expectancy holds
confidenceThreshold=0,runnerProtection=trail_tp1,maxStopAtrMultiplier=4,sizingHoursFactor=1     741.4    332.6    0.001    0.358    2.8   0.05      -2.5  ACCEPT — fit+select, paired p, expectancy holds
